RECORD_TIME,H_WIND_AMOUNT,H_COLD_PRESS,H_QLWC,H_FYL,H_PRESS_DIFF,H_LYL,H_SF,H_ACT_FS,H_GDFN,OFT,TS,GFD,BFC
2023-09-10 01:00:00,5893.43,437.1,1.37,5.14,177.03,44.86,1.59,257.36,13425.18,3,1,1,1
2023-11-10 16:00:00,6008.73,427.36,2.28,3.85,171.93,48.22,3.29,270.38,15083.99,2,1,1,4
2023-08-25 23:00:00,6027.96,433.08,1.74,5.07,172.01,44.7,3.02,270.74,15177.88,3,1,1,3
2023-07-08 19:00:00,5991.75,437.92,0.0,5.0,175.79,46.45,4.3,259.27,13846.51,2,1,1,1
2023-11-14 00:00:00,0.0,26.61,0.66,0.0,-0.63,0.0,1.69,0.0,0.0,1,1,1,1
2023-04-05 12:00:00,5662.77,427.88,2.09,4.08,173.03,44.95,18.09,240.34,11234.1,1,1,1,1
2024-02-20 17:00:00,6042.86,437.65,1.96,6.01,181.76,47.68,15.88,267.39,14862.67,1,1,1,1
2023-09-16 08:00:00,5762.79,434.37,1.07,5.19,175.14,44.91,2.49,250.71,12445.8,4,1,1,1
2023-03-28 23:00:00,5793.09,430.53,2.82,5.19,170.9,47.28,18.92,253.85,12827.26,1,1,1,1
2023-10-29 14:00:00,5891.73,424.3,2.07,2.86,172.24,48.14,3.91,260.24,13712.47,4,1,1,1
2023-08-30 08:00:00,6018.6,428.21,1.72,5.2,167.28,44.75,2.9,274.31,15563.48,1,1,1,1
2023-08-03 14:00:00,5981.1,435.75,1.06,5.42,174.15,44.15,5.3,262.35,14163.84,2,1,1,1
2024-01-22 06:00:00,6088.55,434.54,2.1,5.98,178.48,46.34,11.74,267.7,14978.3,2,4,4,1
2023-08-07 11:00:00,5895.46,434.7,1.05,5.51,173.82,45.98,1.71,257.04,13382.82,5,1,1,1
2023-06-28 04:00:00,5941.15,437.3,1.43,5.04,175.24,45.91,6.82,258.45,13635.93,1,1,1,1
2023-07-26 00:00:00,5783.65,430.88,1.11,4.28,173.17,43.67,2.64,241.82,12004.04,1,1,1,1
2023-05-04 14:00:00,5914.14,440.19,1.82,4.4,179.17,47.53,15.48,253.21,13505.95,1,1,1,1
2023-10-05 15:00:00,1797.24,212.12,1.5,0.0,138.63,39.79,2.91,153.68,1955.71,1,1,1,1
2023-04-13 19:00:00,5577.97,431.55,1.86,2.8,177.37,42.2,19.51,233.99,10492.87,2,1,1,1
2023-10-13 15:00:00,3057.81,218.5,1.05,0.0,116.7,41.84,1.75,229.08,6563.44,1,4,4,1
2023-09-04 07:00:00,5933.71,435.75,1.36,5.26,175.17,43.81,2.9,262.96,14100.25,4,3,3,1
2023-11-22 05:00:00,5986.64,431.37,2.46,2.83,176.03,49.33,5.3,264.31,14366.72,3,1,1,4
2023-05-24 15:00:00,5911.54,436.58,1.85,4.39,174.33,47.87,12.31,264.91,14730.75,1,1,1,4
2023-09-17 17:00:00,5915.89,436.26,1.1,4.73,177.77,43.94,2.12,256.06,13329.29,4,1,1,1
2024-02-24 13:00:00,5978.34,435.53,1.45,6.09,179.63,47.43,20.48,264.43,14362.31,3,3,3,1
2023-05-11 02:00:00,5918.1,437.88,1.93,4.53,176.07,46.15,15.07,260.19,14231.45,1,1,1,1
2023-11-27 01:00:00,6167.85,433.89,3.38,3.34,176.91,47.89,5.62,268.78,15314.69,1,1,1,1
2023-05-17 21:00:00,5917.91,437.28,1.75,4.39,175.29,46.75,14.69,260.78,14287.56,3,3,3,1
2023-10-03 04:00:00,3715.33,300.24,2.68,0.0,144.2,46.34,2.89,247.03,9587.15,1,1,1,1
2023-12-20 07:00:00,6024.75,426.21,3.14,6.26,170.46,47.78,5.47,268.32,14907.38,1,1,1,1
2023-04-11 17:00:00,5663.07,419.6,1.61,4.13,164.16,44.16,15.65,256.99,12847.42,4,1,1,1
2024-02-25 21:00:00,6044.87,436.76,1.84,6.02,180.58,47.52,19.84,270.14,15147.8,1,3,3,1
2023-04-26 15:00:00,5613.29,417.21,2.31,2.12,171.72,47.6,15.28,259.67,13851.03,5,1,1,1
2023-09-01 04:00:00,5802.79,434.45,1.72,5.38,174.72,44.77,3.19,253.2,12785.94,5,1,1,1
2024-02-09 21:00:00,6028.74,435.12,2.22,6.03,179.03,46.91,16.69,268.97,14974.67,2,1,1,1
2024-01-31 15:00:00,5982.06,428.02,2.13,6.09,172.45,47.17,12.18,263.75,14304.17,1,1,1,1
2023-10-24 22:00:00,5793.15,410.9,3.81,3.14,163.23,49.53,2.82,257.71,13225.03,4,1,1,1
2023-06-03 07:00:00,5924.53,439.4,2.41,4.5,177.3,47.01,10.58,266.58,14932.14,1,1,1,1
2023-07-10 06:00:00,5905.6,430.7,0.0,5.05,170.27,44.96,5.43,258.16,13522.55,3,1,1,1
2024-02-05 19:00:00,6030.42,434.51,2.65,6.03,178.47,46.62,13.76,265.77,14625.31,1,1,1,1
